cancer_classification,YEAR,Age_Group,M,F,TOTAL
Hodgkin lymphoma (C81),1959,N75_79,4,3,7
Hodgkin lymphoma (C81),1959,N80_84,2,0,2
Hodgkin lymphoma (C81),1959,N85+,1,0,1
Hodgkin lymphoma (C81),1959,N_UNK,0,0,0
Hodgkin lymphoma (C81),1960,N0_4,0,0,0
Hodgkin lymphoma (C81),1960,N5_9,2,0,2
Hodgkin lymphoma (C81),1960,N10_14,4,2,6
Hodgkin lymphoma (C81),1960,N15_19,8,12,20
Hodgkin lymphoma (C81),1960,N20_24,9,8,17
Hodgkin lymphoma (C81),1960,N25_29,9,5,14
Hodgkin lymphoma (C81),1960,N30_34,11,6,17
Hodgkin lymphoma (C81),1960,N35_39,8,6,14
Hodgkin lymphoma (C81),1960,N40_44,8,7,15
Hodgkin lymphoma (C81),1960,N45_49,6,5,11
Hodgkin lymphoma (C81),1960,N50_54,9,2,11
Hodgkin lymphoma (C81),1960,N55_59,7,2,9
Hodgkin lymphoma (C81),1960,N60_64,8,14,22
Hodgkin lymphoma (C81),1960,N65_69,14,12,26
Hodgkin lymphoma (C81),1960,N70_74,7,6,13
Hodgkin lymphoma (C81),1960,N75_79,4,3,7
Hodgkin lymphoma (C81),1960,N80_84,2,3,5
Hodgkin lymphoma (C81),1960,N85+,2,1,3
Hodgkin lymphoma (C81),1960,N_UNK,0,0,0
Hodgkin lymphoma (C81),1961,N0_4,0,0,0
Hodgkin lymphoma (C81),1961,N5_9,2,0,2
Hodgkin lymphoma (C81),1961,N10_14,1,0,1
Hodgkin lymphoma (C81),1961,N15_19,8,9,17
Hodgkin lymphoma (C81),1961,N20_24,10,4,14
Hodgkin lymphoma (C81),1961,N25_29,15,9,24
Hodgkin lymphoma (C81),1961,N30_34,10,6,16
Hodgkin lymphoma (C81),1961,N35_39,8,4,12
Hodgkin lymphoma (C81),1961,N40_44,7,7,14
Hodgkin lymphoma (C81),1961,N45_49,10,6,16
Hodgkin lymphoma (C81),1961,N50_54,10,4,14
Hodgkin lymphoma (C81),1961,N55_59,8,5,13
Hodgkin lymphoma (C81),1961,N60_64,10,6,16
Hodgkin lymphoma (C81),1961,N65_69,8,10,18
Hodgkin lymphoma (C81),1961,N70_74,4,13,17
Hodgkin lymphoma (C81),1961,N75_79,6,3,9
Hodgkin lymphoma (C81),1961,N80_84,4,2,6
Hodgkin lymphoma (C81),1961,N85+,0,1,1
Hodgkin lymphoma (C81),1961,N_UNK,0,0,0
Hodgkin lymphoma (C81),1962,N0_4,1,1,2
Hodgkin lymphoma (C81),1962,N5_9,0,1,1
Hodgkin lymphoma (C81),1962,N10_14,3,1,4
Hodgkin lymphoma (C81),1962,N15_19,11,3,14
Hodgkin lymphoma (C81),1962,N20_24,9,7,16
Hodgkin lymphoma (C81),1962,N25_29,17,4,21
Hodgkin lymphoma (C81),1962,N30_34,7,5,12
Hodgkin lymphoma (C81),1962,N35_39,7,3,10
Hodgkin lymphoma (C81),1962,N40_44,13,10,23
Hodgkin lymphoma (C81),1962,N45_49,11,4,15
Hodgkin lymphoma (C81),1962,N50_54,16,4,20
Hodgkin lymphoma (C81),1962,N55_59,12,5,17
Hodgkin lymphoma (C81),1962,N60_64,9,9,18
Hodgkin lymphoma (C81),1962,N65_69,6,8,14
Hodgkin lymphoma (C81),1962,N70_74,9,12,21
Hodgkin lymphoma (C81),1962,N75_79,4,3,7
Hodgkin lymphoma (C81),1962,N80_84,2,4,6
Hodgkin lymphoma (C81),1962,N85+,1,0,1
Hodgkin lymphoma (C81),1962,N_UNK,0,0,0
Hodgkin lymphoma (C81),1963,N0_4,0,0,0
Hodgkin lymphoma (C81),1963,N5_9,4,2,6
Hodgkin lymphoma (C81),1963,N10_14,1,2,3
Hodgkin lymphoma (C81),1963,N15_19,4,4,8
Hodgkin lymphoma (C81),1963,N20_24,5,3,8
Hodgkin lymphoma (C81),1963,N25_29,8,7,15
Hodgkin lymphoma (C81),1963,N30_34,9,1,10
Hodgkin lymphoma (C81),1963,N35_39,9,2,11
Hodgkin lymphoma (C81),1963,N40_44,8,5,13
Hodgkin lymphoma (C81),1963,N45_49,12,3,15
Hodgkin lymphoma (C81),1963,N50_54,7,5,12
Hodgkin lymphoma (C81),1963,N55_59,11,9,20
Hodgkin lymphoma (C81),1963,N60_64,17,8,25
Hodgkin lymphoma (C81),1963,N65_69,11,4,15
Hodgkin lymphoma (C81),1963,N70_74,3,5,8
Hodgkin lymphoma (C81),1963,N75_79,5,6,11
Hodgkin lymphoma (C81),1963,N80_84,7,4,11
Hodgkin lymphoma (C81),1963,N85+,1,0,1
Hodgkin lymphoma (C81),1963,N_UNK,0,0,0
Hodgkin lymphoma (C81),1964,N0_4,1,0,1
Hodgkin lymphoma (C81),1964,N5_9,4,0,4
Hodgkin lymphoma (C81),1964,N10_14,2,2,4
Hodgkin lymphoma (C81),1964,N15_19,10,8,18
Hodgkin lymphoma (C81),1964,N20_24,12,8,20
Hodgkin lymphoma (C81),1964,N25_29,13,10,23
Hodgkin lymphoma (C81),1964,N30_34,13,9,22
Hodgkin lymphoma (C81),1964,N35_39,6,9,15
Hodgkin lymphoma (C81),1964,N40_44,10,7,17
Hodgkin lymphoma (C81),1964,N45_49,15,4,19
Hodgkin lymphoma (C81),1964,N50_54,19,8,27
Hodgkin lymphoma (C81),1964,N55_59,19,5,24
Hodgkin lymphoma (C81),1964,N60_64,6,9,15
Hodgkin lymphoma (C81),1964,N65_69,14,4,18
Hodgkin lymphoma (C81),1964,N70_74,7,6,13
Hodgkin lymphoma (C81),1964,N75_79,4,4,8
Hodgkin lymphoma (C81),1964,N80_84,7,4,11
Hodgkin lymphoma (C81),1964,N85+,0,1,1
Hodgkin lymphoma (C81),1964,N_UNK,0,0,0
Hodgkin lymphoma (C81),1965,N0_4,0,0,0
Hodgkin lymphoma (C81),1965,N5_9,2,0,2
Hodgkin lymphoma (C81),1965,N10_14,2,1,3
Hodgkin lymphoma (C81),1965,N15_19,9,5,14
Hodgkin lymphoma (C81),1965,N20_24,18,11,29
Hodgkin lymphoma (C81),1965,N25_29,13,7,20
Hodgkin lymphoma (C81),1965,N30_34,6,6,12
Hodgkin lymphoma (C81),1965,N35_39,10,8,18
Hodgkin lymphoma (C81),1965,N40_44,15,8,23
Hodgkin lymphoma (C81),1965,N45_49,14,7,21
Hodgkin lymphoma (C81),1965,N50_54,9,4,13
Hodgkin lymphoma (C81),1965,N55_59,7,4,11
Hodgkin lymphoma (C81),1965,N60_64,6,6,12
Hodgkin lymphoma (C81),1965,N65_69,10,6,16
Hodgkin lymphoma (C81),1965,N70_74,4,13,17
Hodgkin lymphoma (C81),1965,N75_79,7,5,12
Hodgkin lymphoma (C81),1965,N80_84,5,1,6
Hodgkin lymphoma (C81),1965,N85+,2,2,4
Hodgkin lymphoma (C81),1965,N_UNK,0,0,0
Hodgkin lymphoma (C81),1966,N0_4,1,0,1
Hodgkin lymphoma (C81),1966,N5_9,2,0,2
Hodgkin lymphoma (C81),1966,N10_14,2,2,4
Hodgkin lymphoma (C81),1966,N15_19,11,7,18
Hodgkin lymphoma (C81),1966,N20_24,9,9,18
Hodgkin lymphoma (C81),1966,N25_29,11,7,18
Hodgkin lymphoma (C81),1966,N30_34,6,6,12
Hodgkin lymphoma (C81),1966,N35_39,3,5,8
Hodgkin lymphoma (C81),1966,N40_44,5,5,10
Hodgkin lymphoma (C81),1966,N45_49,11,8,19
Hodgkin lymphoma (C81),1966,N50_54,17,7,24
Hodgkin lymphoma (C81),1966,N55_59,13,8,21
Hodgkin lymphoma (C81),1966,N60_64,15,8,23
Hodgkin lymphoma (C81),1966,N65_69,13,10,23
Hodgkin lymphoma (C81),1966,N70_74,11,11,22
Hodgkin lymphoma (C81),1966,N75_79,9,7,16
Hodgkin lymphoma (C81),1966,N80_84,2,2,4
Hodgkin lymphoma (C81),1966,N85+,0,1,1
Hodgkin lymphoma (C81),1966,N_UNK,0,0,0
Hodgkin lymphoma (C81),1967,N0_4,1,0,1
Hodgkin lymphoma (C81),1967,N5_9,1,1,2
Hodgkin lymphoma (C81),1967,N10_14,6,2,8
Hodgkin lymphoma (C81),1967,N15_19,13,8,21
Hodgkin lymphoma (C81),1967,N20_24,18,8,26
Hodgkin lymphoma (C81),1967,N25_29,9,6,15
Hodgkin lymphoma (C81),1967,N30_34,3,9,12
Hodgkin lymphoma (C81),1967,N35_39,8,4,12
Hodgkin lymphoma (C81),1967,N40_44,7,6,13
Hodgkin lymphoma (C81),1967,N45_49,8,9,17
Hodgkin lymphoma (C81),1967,N50_54,9,11,20
Hodgkin lymphoma (C81),1967,N55_59,18,5,23
Hodgkin lymphoma (C81),1967,N60_64,11,11,22
Hodgkin lymphoma (C81),1967,N65_69,12,8,20
Hodgkin lymphoma (C81),1967,N70_74,10,12,22
Hodgkin lymphoma (C81),1967,N75_79,5,3,8
Hodgkin lymphoma (C81),1967,N80_84,5,5,10
Hodgkin lymphoma (C81),1967,N85+,0,2,2
Hodgkin lymphoma (C81),1967,N_UNK,0,0,0
Hodgkin lymphoma (C81),1968,N0_4,0,0,0
Hodgkin lymphoma (C81),1968,N5_9,0,0,0
Hodgkin lymphoma (C81),1968,N10_14,4,1,5
Hodgkin lymphoma (C81),1968,N15_19,6,5,11
Hodgkin lymphoma (C81),1968,N20_24,13,9,22
Hodgkin lymphoma (C81),1968,N25_29,12,8,20
Hodgkin lymphoma (C81),1968,N30_34,11,8,19
Hodgkin lymphoma (C81),1968,N35_39,12,8,20
Hodgkin lymphoma (C81),1968,N40_44,17,10,27
Hodgkin lymphoma (C81),1968,N45_49,7,5,12
Hodgkin lymphoma (C81),1968,N50_54,18,4,22
Hodgkin lymphoma (C81),1968,N55_59,15,7,22
Hodgkin lymphoma (C81),1968,N60_64,9,10,19
Hodgkin lymphoma (C81),1968,N65_69,11,11,22
Hodgkin lymphoma (C81),1968,N70_74,5,14,19
Hodgkin lymphoma (C81),1968,N75_79,7,4,11
Hodgkin lymphoma (C81),1968,N80_84,4,5,9
Hodgkin lymphoma (C81),1968,N85+,2,1,3
Hodgkin lymphoma (C81),1968,N_UNK,0,0,0
Hodgkin lymphoma (C81),1969,N0_4,1,0,1
Hodgkin lymphoma (C81),1969,N5_9,3,2,5
Hodgkin lymphoma (C81),1969,N10_14,5,1,6
Hodgkin lymphoma (C81),1969,N15_19,4,9,13
Hodgkin lymphoma (C81),1969,N20_24,17,14,31
Hodgkin lymphoma (C81),1969,N25_29,11,14,25
Hodgkin lymphoma (C81),1969,N30_34,3,5,8
Hodgkin lymphoma (C81),1969,N35_39,9,5,14
Hodgkin lymphoma (C81),1969,N40_44,8,6,14
Hodgkin lymphoma (C81),1969,N45_49,10,4,14
Hodgkin lymphoma (C81),1969,N50_54,12,4,16
Hodgkin lymphoma (C81),1969,N55_59,13,5,18
Hodgkin lymphoma (C81),1969,N60_64,10,6,16
Hodgkin lymphoma (C81),1969,N65_69,17,7,24
Hodgkin lymphoma (C81),1969,N70_74,12,8,20
Hodgkin lymphoma (C81),1969,N75_79,7,13,20
Hodgkin lymphoma (C81),1969,N80_84,6,3,9
Hodgkin lymphoma (C81),1969,N85+,1,1,2
Hodgkin lymphoma (C81),1969,N_UNK,0,0,0
Hodgkin lymphoma (C81),1970,N0_4,0,0,0
Hodgkin lymphoma (C81),1970,N5_9,2,0,2
Hodgkin lymphoma (C81),1970,N10_14,1,5,6
Hodgkin lymphoma (C81),1970,N15_19,4,5,9
Hodgkin lymphoma (C81),1970,N20_24,21,12,33
Hodgkin lymphoma (C81),1970,N25_29,15,9,24
Hodgkin lymphoma (C81),1970,N30_34,3,5,8
Hodgkin lymphoma (C81),1970,N35_39,12,8,20
Hodgkin lymphoma (C81),1970,N40_44,13,5,18
Hodgkin lymphoma (C81),1970,N45_49,11,6,17
Hodgkin lymphoma (C81),1970,N50_54,12,4,16
Hodgkin lymphoma (C81),1970,N55_59,10,10,20
Hodgkin lymphoma (C81),1970,N60_64,12,9,21
Hodgkin lymphoma (C81),1970,N65_69,18,10,28
Hodgkin lymphoma (C81),1970,N70_74,12,7,19
Hodgkin lymphoma (C81),1970,N75_79,8,6,14
Hodgkin lymphoma (C81),1970,N80_84,4,3,7
Hodgkin lymphoma (C81),1970,N85+,0,2,2
Hodgkin lymphoma (C81),1970,N_UNK,0,0,0
Hodgkin lymphoma (C81),1971,N0_4,7,3,10
Hodgkin lymphoma (C81),1971,N5_9,18,3,21
Hodgkin lymphoma (C81),1971,N10_14,22,6,28
Hodgkin lymphoma (C81),1971,N15_19,41,36,77
Hodgkin lymphoma (C81),1971,N20_24,80,60,140
Hodgkin lymphoma (C81),1971,N25_29,83,54,137
Hodgkin lymphoma (C81),1971,N30_34,71,45,116
Hodgkin lymphoma (C81),1971,N35_39,62,32,94
Hodgkin lymphoma (C81),1971,N40_44,50,26,76
Hodgkin lymphoma (C81),1971,N45_49,63,39,102
Hodgkin lymphoma (C81),1971,N50_54,67,39,106
Hodgkin lymphoma (C81),1971,N55_59,90,47,137
Hodgkin lymphoma (C81),1971,N60_64,90,48,138
Hodgkin lymphoma (C81),1971,N65_69,71,56,127
Hodgkin lymphoma (C81),1971,N70_74,52,51,103
Hodgkin lymphoma (C81),1971,N75_79,35,37,72
Hodgkin lymphoma (C81),1971,N80_84,9,27,36
Hodgkin lymphoma (C81),1971,N85+,6,11,17
Hodgkin lymphoma (C81),1971,N_UNK,0,0,0
Hodgkin lymphoma (C81),1972,N0_4,1,3,4
Hodgkin lymphoma (C81),1972,N5_9,9,6,15
Hodgkin lymphoma (C81),1972,N10_14,26,13,39
Hodgkin lymphoma (C81),1972,N15_19,70,58,128
Hodgkin lymphoma (C81),1972,N20_24,99,61,160
Hodgkin lymphoma (C81),1972,N25_29,118,69,187
Hodgkin lymphoma (C81),1972,N30_34,65,37,102
Hodgkin lymphoma (C81),1972,N35_39,59,26,85
Hodgkin lymphoma (C81),1972,N40_44,77,25,102
Hodgkin lymphoma (C81),1972,N45_49,67,28,95
Hodgkin lymphoma (C81),1972,N50_54,77,37,114
Hodgkin lymphoma (C81),1972,N55_59,81,32,113
Hodgkin lymphoma (C81),1972,N60_64,95,46,141
Hodgkin lymphoma (C81),1972,N65_69,79,65,144
Hodgkin lymphoma (C81),1972,N70_74,65,54,119
Hodgkin lymphoma (C81),1972,N75_79,29,46,75
Hodgkin lymphoma (C81),1972,N80_84,17,22,39
Hodgkin lymphoma (C81),1972,N85+,4,7,11
Hodgkin lymphoma (C81),1972,N_UNK,0,0,0
Hodgkin lymphoma (C81),1973,N0_4,1,2,3
Hodgkin lymphoma (C81),1973,N5_9,8,2,10
Hodgkin lymphoma (C81),1973,N10_14,16,8,24
Hodgkin lymphoma (C81),1973,N15_19,50,34,84
Hodgkin lymphoma (C81),1973,N20_24,106,71,177
Hodgkin lymphoma (C81),1973,N25_29,106,45,151
Hodgkin lymphoma (C81),1973,N30_34,82,40,122
Hodgkin lymphoma (C81),1973,N35_39,59,27,86
Hodgkin lymphoma (C81),1973,N40_44,63,31,94
Hodgkin lymphoma (C81),1973,N45_49,69,34,103
Hodgkin lymphoma (C81),1973,N50_54,74,49,123
Hodgkin lymphoma (C81),1973,N55_59,57,45,102
Hodgkin lymphoma (C81),1973,N60_64,91,55,146
Hodgkin lymphoma (C81),1973,N65_69,80,59,139
Hodgkin lymphoma (C81),1973,N70_74,47,58,105
Hodgkin lymphoma (C81),1973,N75_79,41,50,91
Hodgkin lymphoma (C81),1973,N80_84,14,25,39
Hodgkin lymphoma (C81),1973,N85+,8,14,22
Hodgkin lymphoma (C81),1973,N_UNK,0,0,0
Hodgkin lymphoma (C81),1974,N0_4,3,0,3
Hodgkin lymphoma (C81),1974,N5_9,12,2,14
Hodgkin lymphoma (C81),1974,N10_14,19,12,31
Hodgkin lymphoma (C81),1974,N15_19,58,48,106
Hodgkin lymphoma (C81),1974,N20_24,128,62,190
Hodgkin lymphoma (C81),1974,N25_29,90,61,151
Hodgkin lymphoma (C81),1974,N30_34,74,39,113
Hodgkin lymphoma (C81),1974,N35_39,60,34,94
Hodgkin lymphoma (C81),1974,N40_44,61,32,93
Hodgkin lymphoma (C81),1974,N45_49,59,33,92
Hodgkin lymphoma (C81),1974,N50_54,70,38,108
Hodgkin lymphoma (C81),1974,N55_59,75,36,111
Hodgkin lymphoma (C81),1974,N60_64,76,53,129
Hodgkin lymphoma (C81),1974,N65_69,65,69,134
Hodgkin lymphoma (C81),1974,N70_74,56,59,115
Hodgkin lymphoma (C81),1974,N75_79,32,44,76
Hodgkin lymphoma (C81),1974,N80_84,16,30,46
Hodgkin lymphoma (C81),1974,N85+,6,14,20
Hodgkin lymphoma (C81),1974,N_UNK,0,0,0
Hodgkin lymphoma (C81),1975,N0_4,3,0,3
Hodgkin lymphoma (C81),1975,N5_9,20,3,23
Hodgkin lymphoma (C81),1975,N10_14,18,8,26
Hodgkin lymphoma (C81),1975,N15_19,53,45,98
Hodgkin lymphoma (C81),1975,N20_24,108,64,172
Hodgkin lymphoma (C81),1975,N25_29,107,53,160
Hodgkin lymphoma (C81),1975,N30_34,69,49,118
Hodgkin lymphoma (C81),1975,N35_39,52,35,87
Hodgkin lymphoma (C81),1975,N40_44,67,24,91
Hodgkin lymphoma (C81),1975,N45_49,63,29,92
Hodgkin lymphoma (C81),1975,N50_54,77,35,112
Hodgkin lymphoma (C81),1975,N55_59,78,44,122
Hodgkin lymphoma (C81),1975,N60_64,70,51,121
Hodgkin lymphoma (C81),1975,N65_69,63,51,114
Hodgkin lymphoma (C81),1975,N70_74,56,47,103
Hodgkin lymphoma (C81),1975,N75_79,44,34,78
Hodgkin lymphoma (C81),1975,N80_84,14,21,35
Hodgkin lymphoma (C81),1975,N85+,10,9,19
Hodgkin lymphoma (C81),1975,N_UNK,0,0,0
Hodgkin lymphoma (C81),1976,N0_4,2,0,2
Hodgkin lymphoma (C81),1976,N5_9,20,4,24
Hodgkin lymphoma (C81),1976,N10_14,26,14,40
Hodgkin lymphoma (C81),1976,N15_19,63,54,117
Hodgkin lymphoma (C81),1976,N20_24,103,61,164
Hodgkin lymphoma (C81),1976,N25_29,99,58,157
Hodgkin lymphoma (C81),1976,N30_34,80,45,125
Hodgkin lymphoma (C81),1976,N35_39,66,38,104
Hodgkin lymphoma (C81),1976,N40_44,60,33,93
Hodgkin lymphoma (C81),1976,N45_49,63,28,91
Hodgkin lymphoma (C81),1976,N50_54,60,35,95
Hodgkin lymphoma (C81),1976,N55_59,69,35,104
Hodgkin lymphoma (C81),1976,N60_64,56,40,96
Hodgkin lymphoma (C81),1976,N65_69,70,55,125
Hodgkin lymphoma (C81),1976,N70_74,60,49,109
Hodgkin lymphoma (C81),1976,N75_79,33,39,72
Hodgkin lymphoma (C81),1976,N80_84,10,20,30
Hodgkin lymphoma (C81),1976,N85+,5,14,19
Hodgkin lymphoma (C81),1976,N_UNK,0,0,0
Hodgkin lymphoma (C81),1977,N0_4,5,1,6
Hodgkin lymphoma (C81),1977,N5_9,12,0,12
Hodgkin lymphoma (C81),1977,N10_14,27,21,48
Hodgkin lymphoma (C81),1977,N15_19,55,52,107
Hodgkin lymphoma (C81),1977,N20_24,100,72,172
Hodgkin lymphoma (C81),1977,N25_29,130,60,190
Hodgkin lymphoma (C81),1977,N30_34,86,48,134
Hodgkin lymphoma (C81),1977,N35_39,77,38,115
Hodgkin lymphoma (C81),1977,N40_44,63,22,85
Hodgkin lymphoma (C81),1977,N45_49,63,15,78
Hodgkin lymphoma (C81),1977,N50_54,69,40,109
Hodgkin lymphoma (C81),1977,N55_59,66,40,106
Hodgkin lymphoma (C81),1977,N60_64,84,56,140
Hodgkin lymphoma (C81),1977,N65_69,70,51,121
Hodgkin lymphoma (C81),1977,N70_74,65,46,111
Hodgkin lymphoma (C81),1977,N75_79,36,36,72
Hodgkin lymphoma (C81),1977,N80_84,22,16,38
Hodgkin lymphoma (C81),1977,N85+,6,6,12
Hodgkin lymphoma (C81),1977,N_UNK,0,0,0
Hodgkin lymphoma (C81),1978,N0_4,2,2,4
Hodgkin lymphoma (C81),1978,N5_9,21,6,27
Hodgkin lymphoma (C81),1978,N10_14,40,9,49
Hodgkin lymphoma (C81),1978,N15_19,75,55,130
Hodgkin lymphoma (C81),1978,N20_24,121,63,184
Hodgkin lymphoma (C81),1978,N25_29,112,67,179
Hodgkin lymphoma (C81),1978,N30_34,99,56,155
Hodgkin lymphoma (C81),1978,N35_39,73,32,105
Hodgkin lymphoma (C81),1978,N40_44,58,20,78
Hodgkin lymphoma (C81),1978,N45_49,55,21,76
Hodgkin lymphoma (C81),1978,N50_54,64,34,98
Hodgkin lymphoma (C81),1978,N55_59,92,53,145
Hodgkin lymphoma (C81),1978,N60_64,85,50,135
Hodgkin lymphoma (C81),1978,N65_69,76,59,135
Hodgkin lymphoma (C81),1978,N70_74,68,60,128
Hodgkin lymphoma (C81),1978,N75_79,41,42,83
Hodgkin lymphoma (C81),1978,N80_84,19,27,46
Hodgkin lymphoma (C81),1978,N85+,4,16,20
Hodgkin lymphoma (C81),1978,N_UNK,0,0,0
Hodgkin lymphoma (C81),1979,N0_4,5,3,8
Hodgkin lymphoma (C81),1979,N5_9,8,0,8
Hodgkin lymphoma (C81),1979,N10_14,32,16,48
Hodgkin lymphoma (C81),1979,N15_19,59,72,131
Hodgkin lymphoma (C81),1979,N20_24,105,73,178
Hodgkin lymphoma (C81),1979,N25_29,101,83,184
Hodgkin lymphoma (C81),1979,N30_34,107,54,161
Hodgkin lymphoma (C81),1979,N35_39,72,46,118
Hodgkin lymphoma (C81),1979,N40_44,64,33,97
Hodgkin lymphoma (C81),1979,N45_49,63,30,93
Hodgkin lymphoma (C81),1979,N50_54,64,34,98
Hodgkin lymphoma (C81),1979,N55_59,68,37,105
Hodgkin lymphoma (C81),1979,N60_64,53,37,90
Hodgkin lymphoma (C81),1979,N65_69,58,45,103
Hodgkin lymphoma (C81),1979,N70_74,50,46,96
Hodgkin lymphoma (C81),1979,N75_79,44,41,85
Hodgkin lymphoma (C81),1979,N80_84,17,29,46
Hodgkin lymphoma (C81),1979,N85+,13,11,24
Hodgkin lymphoma (C81),1979,N_UNK,0,0,0
Hodgkin lymphoma (C81),1980,N0_4,6,0,6
Hodgkin lymphoma (C81),1980,N5_9,16,11,27
Hodgkin lymphoma (C81),1980,N10_14,31,25,56
Hodgkin lymphoma (C81),1980,N15_19,86,68,154
Hodgkin lymphoma (C81),1980,N20_24,111,93,204
Hodgkin lymphoma (C81),1980,N25_29,99,69,168
Hodgkin lymphoma (C81),1980,N30_34,110,70,180
Hodgkin lymphoma (C81),1980,N35_39,64,47,111
Hodgkin lymphoma (C81),1980,N40_44,57,41,98
Hodgkin lymphoma (C81),1980,N45_49,69,25,94
Hodgkin lymphoma (C81),1980,N50_54,68,26,94
Hodgkin lymphoma (C81),1980,N55_59,71,53,124
Hodgkin lymphoma (C81),1980,N60_64,70,36,106
Hodgkin lymphoma (C81),1980,N65_69,70,60,130
Hodgkin lymphoma (C81),1980,N70_74,63,53,116
Hodgkin lymphoma (C81),1980,N75_79,44,43,87
Hodgkin lymphoma (C81),1980,N80_84,18,32,50
Hodgkin lymphoma (C81),1980,N85+,7,17,24
Hodgkin lymphoma (C81),1980,N_UNK,0,0,0
Hodgkin lymphoma (C81),1981,N0_4,1,1,2
Hodgkin lymphoma (C81),1981,N5_9,16,4,20
Hodgkin lymphoma (C81),1981,N10_14,26,20,46
Hodgkin lymphoma (C81),1981,N15_19,90,54,144
Hodgkin lymphoma (C81),1981,N20_24,101,104,205
Hodgkin lymphoma (C81),1981,N25_29,96,67,163
Hodgkin lymphoma (C81),1981,N30_34,94,35,129
Hodgkin lymphoma (C81),1981,N35_39,91,40,131
Hodgkin lymphoma (C81),1981,N40_44,66,32,98
Hodgkin lymphoma (C81),1981,N45_49,68,21,89
Hodgkin lymphoma (C81),1981,N50_54,51,35,86
Hodgkin lymphoma (C81),1981,N55_59,76,29,105
Hodgkin lymphoma (C81),1981,N60_64,83,46,129
Hodgkin lymphoma (C81),1981,N65_69,51,47,98
Hodgkin lymphoma (C81),1981,N70_74,46,52,98
Hodgkin lymphoma (C81),1981,N75_79,43,45,88
Hodgkin lymphoma (C81),1981,N80_84,16,17,33
Hodgkin lymphoma (C81),1981,N85+,4,13,17
Hodgkin lymphoma (C81),1981,N_UNK,0,0,0
Hodgkin lymphoma (C81),1982,N0_4,4,0,4
Hodgkin lymphoma (C81),1982,N5_9,9,4,13
Hodgkin lymphoma (C81),1982,N10_14,33,16,49
Hodgkin lymphoma (C81),1982,N15_19,75,51,126
Hodgkin lymphoma (C81),1982,N20_24,114,89,203
Hodgkin lymphoma (C81),1982,N25_29,93,71,164
Hodgkin lymphoma (C81),1982,N30_34,102,65,167
Hodgkin lymphoma (C81),1982,N35_39,89,35,124
Hodgkin lymphoma (C81),1982,N40_44,66,22,88
Hodgkin lymphoma (C81),1982,N45_49,60,32,92
Hodgkin lymphoma (C81),1982,N50_54,48,21,69
Hodgkin lymphoma (C81),1982,N55_59,75,32,107
Hodgkin lymphoma (C81),1982,N60_64,59,46,105
Hodgkin lymphoma (C81),1982,N65_69,68,34,102
Hodgkin lymphoma (C81),1982,N70_74,36,59,95
Hodgkin lymphoma (C81),1982,N75_79,36,45,81
Hodgkin lymphoma (C81),1982,N80_84,22,29,51
Hodgkin lymphoma (C81),1982,N85+,6,14,20
Hodgkin lymphoma (C81),1982,N_UNK,0,0,0
Hodgkin lymphoma (C81),1983,N0_4,5,4,9
Hodgkin lymphoma (C81),1983,N5_9,34,9,43
Hodgkin lymphoma (C81),1983,N10_14,41,32,73
Hodgkin lymphoma (C81),1983,N15_19,109,102,211
Hodgkin lymphoma (C81),1983,N20_24,151,106,257
Hodgkin lymphoma (C81),1983,N25_29,136,95,231
Hodgkin lymphoma (C81),1983,N30_34,136,63,199
Hodgkin lymphoma (C81),1983,N35_39,106,73,179
Hodgkin lymphoma (C81),1983,N40_44,82,47,129
Hodgkin lymphoma (C81),1983,N45_49,72,36,108
Hodgkin lymphoma (C81),1983,N50_54,97,40,137
Hodgkin lymphoma (C81),1983,N55_59,98,50,148
Hodgkin lymphoma (C81),1983,N60_64,94,67,161
Hodgkin lymphoma (C81),1983,N65_69,83,63,146
Hodgkin lymphoma (C81),1983,N70_74,77,68,145
Hodgkin lymphoma (C81),1983,N75_79,38,66,104
Hodgkin lymphoma (C81),1983,N80_84,24,33,57
Hodgkin lymphoma (C81),1983,N85+,7,12,19
Hodgkin lymphoma (C81),1983,N_UNK,0,0,0
Hodgkin lymphoma (C81),1984,N0_4,18,4,22
Hodgkin lymphoma (C81),1984,N5_9,30,7,37
Hodgkin lymphoma (C81),1984,N10_14,46,27,73
Hodgkin lymphoma (C81),1984,N15_19,105,97,202
Hodgkin lymphoma (C81),1984,N20_24,123,135,258
Hodgkin lymphoma (C81),1984,N25_29,141,92,233
Hodgkin lymphoma (C81),1984,N30_34,104,90,194
Hodgkin lymphoma (C81),1984,N35_39,115,68,183
Hodgkin lymphoma (C81),1984,N40_44,92,43,135
Hodgkin lymphoma (C81),1984,N45_49,87,38,125
Hodgkin lymphoma (C81),1984,N50_54,89,40,129
Hodgkin lymphoma (C81),1984,N55_59,77,54,131
Hodgkin lymphoma (C81),1984,N60_64,97,72,169
Hodgkin lymphoma (C81),1984,N65_69,69,35,104
Hodgkin lymphoma (C81),1984,N70_74,62,72,134
Hodgkin lymphoma (C81),1984,N75_79,51,59,110
Hodgkin lymphoma (C81),1984,N80_84,19,42,61
Hodgkin lymphoma (C81),1984,N85+,10,18,28
Hodgkin lymphoma (C81),1984,N_UNK,0,0,0
Hodgkin lymphoma (C81),1985,N0_4,13,4,17
Hodgkin lymphoma (C81),1985,N5_9,22,4,26
